pair_id	style	prompt_far	prompt_close	negative_prompt
focus_00026	an oil painting of	iconic rabbit silhouette, large simple shapes	high-frequency peacock plumage, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00027	an oil painting of	iconic rabbit silhouette, large simple shapes	delicate owl feathers, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00028	an oil painting of	iconic rabbit silhouette, large simple shapes	textured phoenix feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00029	an oil painting of	iconic rabbit silhouette, large simple shapes	ultra-detailed rose petals, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00030	an oil painting of	iconic rabbit silhouette, large simple shapes	intricate sunflower petals, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00031	an oil painting of	iconic rabbit silhouette, large simple shapes	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00032	an oil painting of	iconic rabbit silhouette, large simple shapes	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00033	an oil painting of	iconic rabbit silhouette, large simple shapes	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00034	an oil painting of	iconic rabbit silhouette, large simple shapes	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00035	an oil painting of	iconic rabbit silhouette, large simple shapes	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00036	an oil painting of	iconic rabbit silhouette, large simple shapes	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00037	an oil painting of	iconic rabbit silhouette, large simple shapes	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00038	an oil painting of	iconic rabbit silhouette, large simple shapes	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00039	an oil painting of	iconic rabbit silhouette, large simple shapes	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00040	an oil painting of	iconic rabbit silhouette, large simple shapes	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00041	an oil painting of	iconic rabbit silhouette, large simple shapes	intricate watch gears, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00042	an oil painting of	iconic rabbit silhouette, large simple shapes	ornate brass filigree, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00043	an oil painting of	iconic rabbit silhouette, large simple shapes	high-frequency circuit traces, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00044	an oil painting of	iconic rabbit silhouette, large simple shapes	mechanical engravings, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00045	an oil painting of	iconic rabbit silhouette, large simple shapes	intricate snake scales, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00046	an oil painting of	iconic rabbit silhouette, large simple shapes	frost crystals, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00047	an oil painting of	iconic rabbit silhouette, large simple shapes	ornate smoke swirls, close-up view	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00048	an oil painting of	iconic rabbit silhouette, large simple shapes	gemstone facets, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00049	an oil painting of	iconic rabbit silhouette, large simple shapes	woven threads, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00050	an oil painting of	poster-like serene monk face, symmetrical layout	intricate eagle feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00051	an oil painting of	poster-like serene monk face, symmetrical layout	high-frequency peacock plumage, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00052	an oil painting of	poster-like serene monk face, symmetrical layout	delicate owl feathers, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00053	an oil painting of	poster-like serene monk face, symmetrical layout	textured phoenix feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00054	an oil painting of	poster-like serene monk face, symmetrical layout	ultra-detailed rose petals, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00055	an oil painting of	poster-like serene monk face, symmetrical layout	intricate sunflower petals, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00056	an oil painting of	poster-like serene monk face, symmetrical layout	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00057	an oil painting of	poster-like serene monk face, symmetrical layout	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00058	an oil painting of	poster-like serene monk face, symmetrical layout	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00059	an oil painting of	poster-like serene monk face, symmetrical layout	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00060	an oil painting of	poster-like serene monk face, symmetrical layout	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00061	an oil painting of	poster-like serene monk face, symmetrical layout	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00062	an oil painting of	poster-like serene monk face, symmetrical layout	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00063	an oil painting of	poster-like serene monk face, symmetrical layout	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00064	an oil painting of	poster-like serene monk face, symmetrical layout	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00065	an oil painting of	poster-like serene monk face, symmetrical layout	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00066	an oil painting of	poster-like serene monk face, symmetrical layout	intricate watch gears, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00067	an oil painting of	poster-like serene monk face, symmetrical layout	ornate brass filigree, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00068	an oil painting of	poster-like serene monk face, symmetrical layout	high-frequency circuit traces, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00069	an oil painting of	poster-like serene monk face, symmetrical layout	mechanical engravings, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00070	an oil painting of	poster-like serene monk face, symmetrical layout	intricate snake scales, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00071	an oil painting of	poster-like serene monk face, symmetrical layout	frost crystals, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00072	an oil painting of	poster-like serene monk face, symmetrical layout	ornate smoke swirls, close-up view	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00073	an oil painting of	poster-like serene monk face, symmetrical layout	gemstone facets, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00074	an oil painting of	poster-like serene monk face, symmetrical layout	woven threads, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00075	an oil painting of	monumental lighthouse, centered composition	intricate eagle feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00076	an oil painting of	monumental lighthouse, centered composition	high-frequency peacock plumage, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00077	an oil painting of	monumental lighthouse, centered composition	delicate owl feathers, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00078	an oil painting of	monumental lighthouse, centered composition	textured phoenix feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00079	an oil painting of	monumental lighthouse, centered composition	ultra-detailed rose petals, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00080	an oil painting of	monumental lighthouse, centered composition	intricate sunflower petals, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00081	an oil painting of	monumental lighthouse, centered composition	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00082	an oil painting of	monumental lighthouse, centered composition	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00083	an oil painting of	monumental lighthouse, centered composition	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00084	an oil painting of	monumental lighthouse, centered composition	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00085	an oil painting of	monumental lighthouse, centered composition	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00086	an oil painting of	monumental lighthouse, centered composition	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00087	an oil painting of	monumental lighthouse, centered composition	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00088	an oil painting of	monumental lighthouse, centered composition	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00089	an oil painting of	monumental lighthouse, centered composition	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00090	an oil painting of	monumental lighthouse, centered composition	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00091	an oil painting of	monumental lighthouse, centered composition	intricate watch gears, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00092	an oil painting of	monumental lighthouse, centered composition	ornate brass filigree, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00093	an oil painting of	monumental lighthouse, centered composition	high-frequency circuit traces, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00094	an oil painting of	monumental lighthouse, centered composition	mechanical engravings, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00095	an oil painting of	monumental lighthouse, centered composition	intricate snake scales, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00096	an oil painting of	monumental lighthouse, centered composition	frost crystals, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00097	an oil painting of	monumental lighthouse, centered composition	ornate smoke swirls, close-up view	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00098	an oil painting of	monumental lighthouse, centered composition	gemstone facets, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00099	an oil painting of	monumental lighthouse, centered composition	woven threads, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00100	an oil painting of	high-contrast butterfly, symmetrical layout	intricate eagle feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00101	an oil painting of	high-contrast butterfly, symmetrical layout	high-frequency peacock plumage, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00102	an oil painting of	high-contrast butterfly, symmetrical layout	delicate owl feathers, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00103	an oil painting of	high-contrast butterfly, symmetrical layout	textured phoenix feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00104	an oil painting of	high-contrast butterfly, symmetrical layout	ultra-detailed rose petals, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00105	an oil painting of	high-contrast butterfly, symmetrical layout	intricate sunflower petals, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00106	an oil painting of	high-contrast butterfly, symmetrical layout	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00107	an oil painting of	high-contrast butterfly, symmetrical layout	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00108	an oil painting of	high-contrast butterfly, symmetrical layout	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00109	an oil painting of	high-contrast butterfly, symmetrical layout	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00110	an oil painting of	high-contrast butterfly, symmetrical layout	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00111	an oil painting of	high-contrast butterfly, symmetrical layout	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00112	an oil painting of	high-contrast butterfly, symmetrical layout	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00113	an oil painting of	high-contrast butterfly, symmetrical layout	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00114	an oil painting of	high-contrast butterfly, symmetrical layout	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00115	an oil painting of	high-contrast butterfly, symmetrical layout	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00116	an oil painting of	high-contrast butterfly, symmetrical layout	intricate watch gears, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00117	an oil painting of	high-contrast butterfly, symmetrical layout	ornate brass filigree, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00118	an oil painting of	high-contrast butterfly, symmetrical layout	high-frequency circuit traces, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00119	an oil painting of	high-contrast butterfly, symmetrical layout	mechanical engravings, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00120	an oil painting of	high-contrast butterfly, symmetrical layout	intricate snake scales, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00121	an oil painting of	high-contrast butterfly, symmetrical layout	frost crystals, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00122	an oil painting of	high-contrast butterfly, symmetrical layout	ornate smoke swirls, close-up view	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00123	an oil painting of	high-contrast butterfly, symmetrical layout	gemstone facets, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00124	an oil painting of	high-contrast butterfly, symmetrical layout	woven threads, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00125	an oil painting of	simple crescent moon, clean background	intricate eagle feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00126	an oil painting of	simple crescent moon, clean background	high-frequency peacock plumage, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00127	an oil painting of	simple crescent moon, clean background	delicate owl feathers, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00128	an oil painting of	simple crescent moon, clean background	textured phoenix feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00129	an oil painting of	simple crescent moon, clean background	ultra-detailed rose petals, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00130	an oil painting of	simple crescent moon, clean background	intricate sunflower petals, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00131	an oil painting of	simple crescent moon, clean background	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00132	an oil painting of	simple crescent moon, clean background	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00133	an oil painting of	simple crescent moon, clean background	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00134	an oil painting of	simple crescent moon, clean background	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00135	an oil painting of	simple crescent moon, clean background	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00136	an oil painting of	simple crescent moon, clean background	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00137	an oil painting of	simple crescent moon, clean background	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00138	an oil painting of	simple crescent moon, clean background	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00139	an oil painting of	simple crescent moon, clean background	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00140	an oil painting of	simple crescent moon, clean background	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00141	an oil painting of	simple crescent moon, clean background	intricate watch gears, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00142	an oil painting of	simple crescent moon, clean background	ornate brass filigree, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00143	an oil painting of	simple crescent moon, clean background	high-frequency circuit traces, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00144	an oil painting of	simple crescent moon, clean background	mechanical engravings, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00145	an oil painting of	simple crescent moon, clean background	intricate snake scales, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00146	an oil painting of	simple crescent moon, clean background	frost crystals, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00147	an oil painting of	simple crescent moon, clean background	ornate smoke swirls, close-up view	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00148	an oil painting of	simple crescent moon, clean background	gemstone facets, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00149	an oil painting of	simple crescent moon, clean background	woven threads, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00150	an oil painting of	iconic violin, centered composition	intricate eagle feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00151	an oil painting of	iconic violin, centered composition	high-frequency peacock plumage, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00152	an oil painting of	iconic violin, centered composition	delicate owl feathers, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00153	an oil painting of	iconic violin, centered composition	textured phoenix feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00154	an oil painting of	iconic violin, centered composition	ultra-detailed rose petals, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00155	an oil painting of	iconic violin, centered composition	intricate sunflower petals, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00156	an oil painting of	iconic violin, centered composition	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00157	an oil painting of	iconic violin, centered composition	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00158	an oil painting of	iconic violin, centered composition	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00159	an oil painting of	iconic violin, centered composition	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00160	an oil painting of	iconic violin, centered composition	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00161	an oil painting of	iconic violin, centered composition	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00162	an oil painting of	iconic violin, centered composition	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00163	an oil painting of	iconic violin, centered composition	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00164	an oil painting of	iconic violin, centered composition	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00165	an oil painting of	iconic violin, centered composition	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00166	an oil painting of	iconic violin, centered composition	intricate watch gears, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00167	an oil painting of	iconic violin, centered composition	ornate brass filigree, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00168	an oil painting of	iconic violin, centered composition	high-frequency circuit traces, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00169	an oil painting of	iconic violin, centered composition	mechanical engravings, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00170	an oil painting of	iconic violin, centered composition	intricate snake scales, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00171	an oil painting of	iconic violin, centered composition	frost crystals, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00172	an oil painting of	iconic violin, centered composition	ornate smoke swirls, close-up view	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00173	an oil painting of	iconic violin, centered composition	gemstone facets, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00174	an oil painting of	iconic violin, centered composition	woven threads, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00175	an oil painting of	bold chess king, frontal view	intricate eagle feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00176	an oil painting of	bold chess king, frontal view	high-frequency peacock plumage, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00177	an oil painting of	bold chess king, frontal view	delicate owl feathers, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00178	an oil painting of	bold chess king, frontal view	textured phoenix feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00179	an oil painting of	bold chess king, frontal view	ultra-detailed rose petals, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00180	an oil painting of	bold chess king, frontal view	intricate sunflower petals, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00181	an oil painting of	bold chess king, frontal view	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00182	an oil painting of	bold chess king, frontal view	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00183	an oil painting of	bold chess king, frontal view	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00184	an oil painting of	bold chess king, frontal view	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00185	an oil painting of	bold chess king, frontal view	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00186	an oil painting of	bold chess king, frontal view	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00187	an oil painting of	bold chess king, frontal view	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00188	an oil painting of	bold chess king, frontal view	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00189	an oil painting of	bold chess king, frontal view	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00190	an oil painting of	bold chess king, frontal view	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
